date,artist_id,artist,venue,city,country_code,country,songs
06-08-2024,4a42d940-ad63-4b06-a871-f6e37eab4c6f,Field Medic,The Jefferson Theater,Charlottesville,US,United States,"-h-o-u-s-e-k-e-y-z-, i want you so bad it hurts, tombstone poetry, clear thoughts of morning, do a little dope, henna tattoo, used 2 be a romantic, p e g a s u s t h o t z, Place to Be, Full grown, song i made up to stop myself from having a panic attack just now, uuu, POWERFUL LOVE"
06-08-2024,9639cd52-c351-4a17-9797-58880e95a7ef,The Mountain Goats,The Jefferson Theater,Charlottesville,US,United States,"Carrot Rope, The Legend of Chavo Guerrero, Water Tower, Incandescent Ruins, In Memory of Satan, Fresh Tattoo, Dutch Orchestra Blues, Clemency for the Wizard King, Southwestern Territory, Thank You Mario but Our Princess Is in Another Castle, Dance Music, Woke Up New, Bell Swamp Connection, Lizard Suit, Hast Thou Considered the Tetrapod, This Year, See America Right, The Mess Inside, Waylon Jennings Live!, Up the Wolves"
03-08-2024,e25705c2-8b1c-45c3-9002-6216ef232a5d,The Dead Reckoning,Martin's Downtown,Roanoke,US,United States,"Bertha, Don't Let Go, Turn On Your Love Light, Althea, Mississippi Half-Step Uptown Toodeloo, They Love Each Other, Jack Straw, Shakedown Street, That's What Love Will Make You Do, Shakedown Street, Mr. Charlie, Not Fade Away"
03-08-2024,4a13d8ae-0771-4b82-8a6d-ccbad0494e5c,Lady Couch,Martin's Downtown,Roanoke,US,United States,"Cats Under the Stars, Deal, Loser, Eyes of the World, Bird Song, Eyes of the World, Brown-Eyed Women, Black-Throated Wind, Ship of Fools, The Wheel, Ramble On Rose, Playing in the Band, U.S. Blues"
03-08-2024,2c81816c-4ce5-4872-bf76-bc8f5ef9338d,Sisters & Brothers,Martin's Downtown,Roanoke,US,United States,"Lay Down Sally, He Ain't Give You None, Expressway to Your Heart, Happy Birthday to You, Dear Prudence, That's a Touch I Like, After Midnight, Eleanor Rigby, After Midnight"
02-08-2024,2c81816c-4ce5-4872-bf76-bc8f5ef9338d,Sisters & Brothers,The Southern Cafe & Music Hall,Charlottesville,US,United States,"Deep Elem Blues, Friend of the Devil, Jack-A-Roe, It Takes a Lot to Laugh, It Takes a Train to Cry, Run for the Roses, Dire Wolf, Ripple, Unbroken Chain, Cats Under the Stars, The Magnificent Sanctuary Band, Lay Down Sally, Stop That Train, That's a Touch I Like, The Harder They Come, Tough Mama, Jack Straw, When I Paint My Masterpiece, Mississippi Half-Step Uptown Toodeloo, Eyes of the World, China Cat Sunflower, Cassidy, New Speedway Boogie, Shakedown Street, Hey Pocky A-Way"
27-07-2024,6df88602-4471-4597-9895-f4f7b829eab3,Town Mountain,The Jefferson Theater,Charlottesville,US,United States,"Devil in Disguise, American Family, Flannery's Reel, Daydream Quarantina, Firebound Road, Farewell Boy, So Far Away, Lines in the Levee, Comeback Kid, Ruination Line, Whiskey with Tears, Last Man Standing, Snowin' on Raton, False Hearted Lover Blues, I'm on Fire, Lawdog, Big Decisions, Down Low, Black Sheep"
27-07-2024,5b942355-029f-4e5c-aa41-85c96658e31a,Rebecca Porter,The Jefferson Theater,Charlottesville,US,United States,"The Laundry Pile, Clockin' Out, Let Me Go, Honky Tonks Ain't for Heroes, If I'm Being Honest, Happy Go Lucky, Prme Rainbow Conditions, Queen of the Local, The Lonely Song"
21-07-2024,51b7f46f-6c0f-46f2-9496-08c9ec2624d4,Ben Folds,Ting Pavilion,Charlottesville,US,United States,"Capable of Anything, Sentimental Guy, The Ascent of Stan, Fragile, Kristine From the 7th Grade, Effington, Phone in a Pool, Me and Maurice, Late, Do It Anyway, Kylie From Connecticut, The Luckiest, The Last Polka, Silver Street, Philosophy, What Matters Most, Brick, Emaline, Narcolepsy, Army"
19-07-2024,1aea8b80-7257-4f40-84e6-aafbe4146040,Shagwüf,Ting Pavilion,Charlottesville,US,United States,Sweet Freak
17-07-2024,365144f7-85af-4c83-b24b-b1d0b26160bb,Nickel Creek,Ting Pavilion,Charlottesville,US,United States,"First and Last Waltz, Helena, Where the Long Line Leads, The Lighthouse's Tale, Going Out..., This Side, Water Under the Bridge, Part 1, The Meadow, Hayloft, Smoothie Song, Somebody More Like You, Thinnest Wall, Rest of My Life, Scotch & Chocolate, Stone's Throw, I Should've Known Better, When You Come Back Down, Cuckoo's Nest, Destination, To the Airport, Tumbling Tumbleweeds"
